stateHash,stateValue
<SimWorld.SAP object at 0x000001DCB72A75C8>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB72A7FC8>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB7290E08>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB72B2B48>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB72B1888>,-7.144929
<SimWorld.SAP object at 0x000001DCB72BF4C8>,-8.019
<SimWorld.SAP object at 0x000001DCB72C7188>,-9.0
<SimWorld.SAP object at 0x000001DCB722A1C8>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB722A348>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB72D2F48>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB72DAE48>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB72E1B88>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB72E8948>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB72ED448>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB72EDF88>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB72ECE08>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB72ECF08>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB72FE8C8>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7305608>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB730B348>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB730BF88>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7310D88>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB7313AC8>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB731F808>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB73234C8>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB75E13C8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB75D29C8>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB75C7848>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB75F5208>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB8058948>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB805F408>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB8070B08>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB807B648>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB8087888>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB5FA5808>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB5FB2988>,-7.144929
<SimWorld.SAP object at 0x000001DCB5FC0A48>,-8.019
<SimWorld.SAP object at 0x000001DCB5FC7348>,-9.0
<SimWorld.SAP object at 0x000001DCB72C5288>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB600AA48>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB6016108>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB6028C88>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB6037148>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB6043FC8>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB604B288>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB5A5C3C8>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB7386B88>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB7386BC8>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7394808>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB7390E48>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB73A14C8>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB73A2B08>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB73AD188>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB73AF7C8>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB73B0E08>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB73BD488>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB73B6AC8>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB73C8148>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB73CB788>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB73C4EC8>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB73D8548>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB73DAA88>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB73E3108>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB73E7748>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB73EAD88>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB73F5408>,-7.144929
<SimWorld.SAP object at 0x000001DCB73F7988>,-8.019
<SimWorld.SAP object at 0x000001DCB73EFFC8>,-9.0
<SimWorld.SAP object at 0x000001DCB5FDC488>,-0.25144982319279935
<SimWorld.SAP object at 0x000001DCB5FDC608>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB7411588>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB740FFC8>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB7421548>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB7415CC8>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB742D348>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB7430988>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB742AEC8>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB742AF08>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB7439B48>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB74491C8>,-0.8949455031554001
