stateHash,stateValue
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 1, 1], [1, 0], [1]]",-0.0989015246379
"[[1], [0, 1], [0, 0, 1], [1, 0, 0, 0], [1, 1, 0], [1, 1], [1]]",-4.351471301102148
"[[1], [0, 1], [0, 0, 1], [1, 0, 1, 0], [1, 0, 0], [0, 1], [1]]",-0.098953659
"[[1], [0, 0], [0, 0, 0], [1, 0, 1, 1], [1, 0, 0], [0, 1], [1]]",-1.6572528307702479
"[[1], [0, 0], [0, 0, 0], [0, 0, 1, 1], [0, 0, 0], [1, 1], [1]]",-8.19694487934018
"[[1], [0, 0], [0, 0, 0], [0, 1, 0, 0], [0, 0, 0], [1, 1], [1]]",-8.872365010986057
"[[1], [0, 0], [0, 0, 0], [0, 1, 0, 0], [1, 0, 0], [0, 1], [0]]",-9.099991784616641
"[[1], [0, 0], [0, 1, 0], [0, 0, 0, 0], [0, 0, 0], [0, 1], [0]]",-9.9999999999999
"[[1], [1, 1], [1, 0, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [0]]",1.7960524111619007
"[[1], [1, 1], [1, 1, 1], [1, 0, 1, 1], [0, 1, 1], [1, 1], [0]]",-1.3563379105486
"[[1], [1, 0], [1, 0, 1], [1, 1, 1, 1], [0, 1, 1], [1, 1], [0]]",-0.18981007432488894
"[[1], [1, 1], [1, 0, 0], [1, 1, 1, 0], [0, 1, 1], [1, 1], [0]]",-0.098953659
"[[1], [1, 1], [1, 1, 0], [1, 1, 0, 0], [0, 1, 0], [1, 1], [0]]",-0.09948509999999999
"[[1], [1, 1], [1, 1, 0], [0, 0, 1, 0], [0, 1, 0], [1, 1], [0]]",-0.10539
"[[1], [1, 0], [1, 0, 0], [0, 1, 1, 0], [0, 1, 0], [1, 1], [0]]",-0.171
"[[1], [1, 0], [1, 0, 0], [1, 0, 0, 0], [0, 1, 0], [1, 1], [0]]",-0.9
"[[1], [1, 0], [1, 0, 0], [1, 0, 1, 0], [0, 0, 0], [0, 1], [0]]",-9.0
"[[1], [1, 1], [1, 1, 1], [0, 0, 1, 1], [1, 1, 1], [1, 1], [1]]",1.796052411161885
"[[1], [0, 1], [0, 1, 1], [1, 0, 1, 1], [1, 1, 1], [1, 1], [1]]",2.1067249012910008
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 0], [1]]",-0.24705578272211287
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 0], [1, 0, 0], [1, 1], [1]]",-0.565602194230386
"[[1], [0, 1], [1, 0, 0], [1, 1, 1, 0], [1, 0, 0], [1, 1], [1]]",-0.6823865385239313
