Policy,Eligibility
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 0], [1]]8,0,6,2",-10.257395137429857
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 0, 0, 1], [1, 0, 1, 1, 1], [1, 0, 1, 1], [0, 0, 1], [1, 0], [1]]7,3,5,3",-10.224446385453993
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 0], [1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1], [1, 0, 1, 0], [0, 0, 1], [1, 0], [1]]5,0,5,2",-10.156125533238464
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 1], [1, 0, 1, 0], [0, 0, 1], [1, 0], [1]]5,3,7,1",-9.997083044419059
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1, 0], [0, 0, 1], [1, 0], [1]]4,1,6,2",-9.990226873993926
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 1], [1, 1, 1, 0], [0, 0, 1], [1, 0], [1]]7,1,5,3",-10.017639397616968
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [1, 0, 0, 0, 1], [1, 0, 1, 0], [0, 0, 1], [1, 0], [1]]5,5,7,3",-10.017931943329522
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0], [1, 0, 1, 1], [0, 0, 1], [1, 0], [1]]8,2,6,4",-9.97630700997779
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 0], [0, 0, 0], [1, 0], [1]]10,0,8,0",-10.015900335163595
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 1], [1, 0, 1, 0], [1, 0, 0], [0, 0], [0]]7,0,5,0",-10.020996127797336
"[[1], [0, 0], [1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1], [0, 0, 1, 0], [1, 0, 0], [0, 0], [0]]None",-9.990123998690532
"[[1], [1, 1], [1, 1, 1], [1, 0, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,1,3,1",-167.7533073926804
"[[1], [1, 1], [1, 1, 1], [1, 1, 0, 1], [1, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,4,3,2",-31.25779960226796
"[[1], [1, 1], [1, 1, 1], [1, 1, 1, 1], [1, 0, 1, 0, 1], [1, 0, 1, 1, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]7,2,5,4",-20.85481231035608
"[[1], [1, 1], [1, 1, 1], [1, 1, 1, 1], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1], [1, 1, 1, 0, 1], [1, 1, 0, 1], [1, 1, 1], [1, 1], [1]]2,1,4,3",-10.401674115287483
